title,doi,url,authors,keywords
Données archéométriques de l’agrafe NN51 (murs gouttereaux),doi:10.57745/M25YTB,https://doi.org/10.57745/M25YTB,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN02 (murs gouttereaux),doi:10.57745/ALRA4J,https://doi.org/10.57745/ALRA4J,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe BFS01 (extérieur de la tour sud),doi:10.57745/0GCDR1,https://doi.org/10.57745/0GCDR1,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe BFN409 (intérieurs des tours),doi:10.57745/OHJOFQ,https://doi.org/10.57745/OHJOFQ,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe BFS02 (extérieur de la tour sud),doi:10.57745/8WMEPL,https://doi.org/10.57745/8WMEPL,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données interprétées pour l’étude des alliages ferreux,doi:10.57745/HCXHYL,https://doi.org/10.57745/HCXHYL,"BERNARD, Mathilde",Paris (France) -- Cathédrale Notre-Dame; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSE27 (murs gouttereaux),doi:10.57745/A2POKZ,https://doi.org/10.57745/A2POKZ,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSEinf10a (murs gouttereaux),doi:10.57745/4PW6HS,https://doi.org/10.57745/4PW6HS,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TRIB106 (tribunes),doi:10.57745/VWEHVF,https://doi.org/10.57745/VWEHVF,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHS_hc_2 (murs gouttereaux),doi:10.57745/Y5DSNJ,https://doi.org/10.57745/Y5DSNJ,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHS_hc_1 (murs gouttereaux),doi:10.57745/ABFNZS,https://doi.org/10.57745/ABFNZS,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CH27 (murs gouttereaux),doi:10.57745/MEZDGI,https://doi.org/10.57745/MEZDGI,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHN17 (murs gouttereaux),doi:10.57745/1O8OC9,https://doi.org/10.57745/1O8OC9,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CH01 (murs gouttereaux),doi:10.57745/ARDVS3,https://doi.org/10.57745/ARDVS3,BERNARD Mathilde; L'HERITIER Maxime; GUILLOT Ivan,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHN24 (murs gouttereaux),doi:10.57745/8RFO9S,https://doi.org/10.57745/8RFO9S,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHS10 (murs gouttereaux),doi:10.57745/WWG4QN,https://doi.org/10.57745/WWG4QN,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHN39 (murs gouttereaux),doi:10.57745/FILQOT,https://doi.org/10.57745/FILQOT,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN01 (murs gouttereaux),doi:10.57745/4OFHVX,https://doi.org/10.57745/4OFHVX,BERNARD Mathilde; L'HERITIER Maxime; GUILLOT Ivan,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe VN2 (murs gouttereaux),doi:10.57745/DVJ7U0,https://doi.org/10.57745/DVJ7U0,BERNARD Mathilde; L'HERITIER Maxime,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHS23 (murs gouttereaux),doi:10.57745/M81REP,https://doi.org/10.57745/M81REP,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN63 (murs gouttereaux),doi:10.57745/LZ6EX7,https://doi.org/10.57745/LZ6EX7,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN_hc_1 (murs gouttereaux),doi:10.57745/PE7TP2,https://doi.org/10.57745/PE7TP2,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN63b (murs gouttereaux),doi:10.57745/GGANP7,https://doi.org/10.57745/GGANP7,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS08 (murs gouttereaux),doi:10.57745/D77T6M,https://doi.org/10.57745/D77T6M,BERNARD Mathilde; L'HERITIER Maxime,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TNW34 (murs gouttereaux),doi:10.57745/JYSDXI,https://doi.org/10.57745/JYSDXI,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS106 (murs gouttereaux),doi:10.57745/JWAOVB,https://doi.org/10.57745/JWAOVB,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSW14 (murs gouttereaux),doi:10.57745/NH2SB8,https://doi.org/10.57745/NH2SB8,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSW19 (murs gouttereaux),doi:10.57745/JNZZML,https://doi.org/10.57745/JNZZML,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSE28 (murs gouttereaux),doi:10.57745/HJKPP9,https://doi.org/10.57745/HJKPP9,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques du goujon PE15N (piles du chœur),doi:10.57745/SHBBWQ,https://doi.org/10.57745/SHBBWQ,BERNARD Mathilde,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TRIB02N (tribunes),doi:10.57745/16K3DD,https://doi.org/10.57745/16K3DD,BERNARD Mathilde; L'HERITIER Maxime,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
