title,doi,url,keywords
Données archéométriques de l’agrafe CHS_hc_2 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/Y5DSNJ,https://doi.org/10.57745/Y5DSNJ,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHS_hc_1 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/ABFNZS,https://doi.org/10.57745/ABFNZS,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CH27 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/MEZDGI,https://doi.org/10.57745/MEZDGI,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHN17 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/1O8OC9,https://doi.org/10.57745/1O8OC9,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CH01 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/ARDVS3,https://doi.org/10.57745/ARDVS3,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHN24 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/8RFO9S,https://doi.org/10.57745/8RFO9S,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHS10 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/WWG4QN,https://doi.org/10.57745/WWG4QN,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe CHN39 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/FILQOT,https://doi.org/10.57745/FILQOT,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN01 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/4OFHVX,https://doi.org/10.57745/4OFHVX,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe VN2 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/DVJ7U0,https://doi.org/10.57745/DVJ7U0,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
